,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category
292,"Flagstaff, AZ Metro Area",21288,1920,1433,1771,5337,22380,10461,5337,49.14,25.07,"Flagstaff, AZ",AZ,High (40-49%)
293,"Flint, MI Metro Area",49178,3830,3264,3811,12446,22420,23351,12446,47.48,25.31,"Flint, MI",MI,High (40-49%)
294,"Florence, SC Metro Area",26195,1374,1416,2446,5626,22500,10862,5626,41.47,21.48,"Florence, SC",SC,High (40-49%)
295,"Florence-Muscle Shoals, AL Metro Area",19168,1499,790,1344,3200,22520,6833,3200,35.65,16.69,"Florence-Muscle Shoals, AL",AL,Moderate (30-39%)
296,"Fond du Lac, WI Metro Area",12437,1133,651,988,1898,22540,4670,1898,37.55,15.26,"Fond du Lac, WI",WI,Moderate (30-39%)
299,"Fort Collins, CO Metro Area",52796,4395,3346,4688,14113,22660,26542,14113,50.27,26.73,"Fort Collins, CO",CO,Very High (50%+)
306,"Fort Smith, AR-OK Metro Area",32262,2154,1857,2845,5461,22900,12317,5461,38.18,16.93,"Fort Smith, AR-OK",AR,Moderate (30-39%)
307,"Fort Wayne, IN Metro Area",48941,3986,2661,3521,9932,23060,20100,9932,41.07,20.29,"Fort Wayne, IN",IN,High (40-49%)
314,"Fresno, CA Metro Area",145867,12365,9819,13543,38249,23420,73976,38249,50.71,26.22,"Fresno, CA",CA,Very High (50%+)
315,"Gadsden, AL Metro Area",10337,752,475,883,2182,23460,4292,2182,41.52,21.11,"Gadsden, AL",AL,High (40-49%)
317,"Gainesville, FL Metro Area",54195,3717,3285,4446,17054,23540,28502,17054,52.59,31.47,"Gainesville, FL",FL,Very High (50%+)
318,"Gainesville, GA Metro Area",20817,1487,1784,2028,4518,23580,9817,4518,47.16,21.7,"Gainesville, GA",GA,High (40-49%)
325,"Gettysburg, PA Metro Area",8742,679,487,677,1472,23900,3315,1472,37.92,16.84,"Gettysburg, PA",PA,Moderate (30-39%)
328,"Glens Falls, NY Metro Area",15065,1560,762,1075,3201,24020,6598,3201,43.8,21.25,"Glens Falls, NY",NY,High (40-49%)
331,"Goldsboro, NC Metro Area",18151,1804,941,1661,3420,24140,7826,3420,43.12,18.84,"Goldsboro, NC",NC,High (40-49%)
333,"Grand Forks, ND-MN Metro Area",18562,1289,1278,1703,3862,24220,8132,3862,43.81,20.81,"Grand Forks, ND-MN",ND,High (40-49%)
334,"Grand Island, NE Metro Area",10371,1145,454,1017,1518,24260,4134,1518,39.86,14.64,"Grand Island, NE",NE,Moderate (30-39%)
335,"Grand Junction, CO Metro Area",17781,1079,1233,1416,4021,24300,7749,4021,43.58,22.61,"Grand Junction, CO",CO,High (40-49%)
337,"Grand Rapids-Kentwood, MI Metro Area",109085,10174,7303,8584,22843,24340,48904,22843,44.83,20.94,"Grand Rapids-Kentwood, MI",MI,High (40-49%)
339,"Grants Pass, OR Metro Area",10645,1046,987,921,2956,24420,5910,2956,55.52,27.77,"Grants Pass, OR",OR,Very High (50%+)
341,"Great Falls, MT Metro Area",11060,788,616,1075,1958,24500,4437,1958,40.12,17.7,"Great Falls, MT",MT,High (40-49%)
342,"Greeley, CO Metro Area",28700,2404,2102,2624,6881,24540,14011,6881,48.82,23.98,"Greeley, CO",CO,High (40-49%)
343,"Green Bay, WI Metro Area",42160,3990,2133,2996,6915,24580,16034,6915,38.03,16.4,"Green Bay, WI",WI,Moderate (30-39%)
345,"Greensboro-High Point, NC Metro Area",111875,9563,7295,10856,23051,24660,50765,23051,45.38,20.6,"Greensboro-High Point, NC",NC,High (40-49%)
348,"Greenville, NC Metro Area",35193,2762,1835,2391,8675,24780,15663,8675,44.51,24.65,"Greenville, NC",NC,High (40-49%)
350,"Greenville-Anderson, SC Metro Area",108358,9003,6651,8450,24452,24860,48556,24452,44.81,22.57,"Greenville-Anderson, SC",SC,High (40-49%)
355,"Gulfport-Biloxi, MS Metro Area",53527,4097,3151,4823,12349,25060,24420,12349,45.62,23.07,"Gulfport-Biloxi, MS",MS,High (40-49%)
357,"Hagerstown-Martinsburg, MD-WV Metro Area",33481,3210,2229,2111,6589,25180,14139,6589,42.23,19.68,"Hagerstown-Martinsburg, MD-WV",MD,High (40-49%)
359,"Hammond, LA Metro Area",13280,830,625,1360,3629,25220,6444,3629,48.52,27.33,"Hammond, LA",LA,High (40-49%)
360,"Hanford-Corcoran, CA Metro Area",19670,1818,1139,1632,3936,25260,8525,3936,43.34,20.01,"Hanford-Corcoran, CA",CA,High (40-49%)
362,"Harrisburg-Carlisle, PA Metro Area",77726,5849,3925,5934,14986,25420,30694,14986,39.49,19.28,"Harrisburg-Carlisle, PA",PA,Moderate (30-39%)
364,"Harrisonburg, VA Metro Area",18435,1345,754,1085,4037,25500,7221,4037,39.17,21.9,"Harrisonburg, VA",VA,Moderate (30-39%)
365,"Hartford-East Hartford-Middletown, CT Metro Area",160785,13422,9970,13016,39299,25540,75707,39299,47.09,24.44,"Hartford-East Hartford-Middletown, CT",CT,High (40-49%)
367,"Hattiesburg, MS Metro Area",23726,1458,1291,2075,5201,25620,10025,5201,42.25,21.92,"Hattiesburg, MS",MS,High (40-49%)
375,"Hickory-Lenoir-Morganton, NC Metro Area",37822,2841,1802,2657,5711,25860,13011,5711,34.4,15.1,"Hickory-Lenoir-Morganton, NC",NC,Moderate (30-39%)
378,"Hilton Head Island-Bluffton, SC Metro Area",21740,1488,1578,2035,4308,25940,9409,4308,43.28,19.82,"Hilton Head Island-Bluffton, SC",SC,High (40-49%)
379,"Hinesville, GA Metro Area",14091,1359,1266,933,2653,25980,6211,2653,44.08,18.83,"Hinesville, GA",GA,High (40-49%)
382,"Homosassa Springs, FL Metro Area",9890,750,631,668,2710,26140,4759,2710,48.12,27.4,"Homosassa Springs, FL",FL,High (40-49%)
385,"Hot Springs, AR Metro Area",13711,1037,647,756,2615,26300,5055,2615,36.87,19.07,"Hot Springs, AR",AR,Moderate (30-39%)
387,"Houma-Thibodaux, LA Metro Area",18709,1340,1401,1069,3975,26380,7785,3975,41.61,21.25,"Houma-Thibodaux, LA",LA,High (40-49%)
388,"Houston-The Woodlands-Sugar Land, TX Metro Area",982172,84560,68827,88772,230882,26420,473041,230882,48.16,23.51,"Houston-The Woodlands-Sugar Land, TX",TX,High (40-49%)
392,"Huntington-Ashland, WV-KY-OH Metro Area",38131,2535,1718,2428,9013,26580,15694,9013,41.16,23.64,"Huntington-Ashland, WV-KY-OH",WV,High (40-49%)
393,"Huntsville, AL Metro Area",59628,4757,3165,3962,11477,26620,23361,11477,39.18,19.25,"Huntsville, AL",AL,Moderate (30-39%)
398,"Idaho Falls, ID Metro Area",14211,948,1010,1121,2157,26820,5236,2157,36.84,15.18,"Idaho Falls, ID",ID,Moderate (30-39%)
400,"Indianapolis-Carmel-Anderson, IN Metro Area",277043,24989,17508,22355,59637,26900,124489,59637,44.93,21.53,"Indianapolis-Carmel-Anderson, IN",IN,High (40-49%)
402,"Iowa City, IA Metro Area",27631,2307,1646,2497,7800,26980,14250,7800,51.57,28.23,"Iowa City, IA",IA,Very High (50%+)
404,"Ithaca, NY Metro Area",19656,1433,1113,1345,6710,27060,10601,6710,53.93,34.14,"Ithaca, NY",NY,Very High (50%+)
405,"Jackson, MI Metro Area",15865,1015,977,1251,3545,27100,6788,3545,42.79,22.34,"Jackson, MI",MI,High (40-49%)
406,"Jackson, MS Metro Area",73060,7095,4495,5919,16515,27140,34024,16515,46.57,22.6,"Jackson, MS",MS,High (40-49%)
408,"Jackson, TN Metro Area",24662,2181,1366,2159,5610,27180,11316,5610,45.88,22.75,"Jackson, TN",TN,High (40-49%)
410,"Jacksonville, FL Metro Area",212834,21820,13506,20475,48767,27260,104568,48767,49.13,22.91,"Jacksonville, FL",FL,High (40-49%)
412,"Jacksonville, NC Metro Area",29164,2777,1283,3024,6311,27340,13395,6311,45.93,21.64,"Jacksonville, NC",NC,High (40-49%)
416,"Janesville-Beloit, WI Metro Area",19977,1616,1147,1405,3599,27500,7767,3599,38.88,18.02,"Janesville-Beloit, WI",WI,Moderate (30-39%)
421,"Jefferson City, MO Metro Area",15701,1084,870,895,2237,27620,5086,2237,32.39,14.25,"Jefferson City, MO",MO,Moderate (30-39%)
424,"Johnson City, TN Metro Area",28283,1890,1434,2392,5271,27740,10987,5271,38.85,18.64,"Johnson City, TN",TN,Moderate (30-39%)
425,"Johnstown, PA Metro Area",13453,812,570,867,2810,27780,5059,2810,37.6,20.89,"Johnstown, PA",PA,Moderate (30-39%)
426,"Jonesboro, AR Metro Area",20376,1649,1039,1782,4453,27860,8923,4453,43.79,21.85,"Jonesboro, AR",AR,High (40-49%)
427,"Joplin, MO Metro Area",23116,2001,1183,1835,4468,27900,9487,4468,41.04,19.33,"Joplin, MO",MO,High (40-49%)
429,"Kahului-Wailuku-Lahaina, HI Metro Area",18970,1436,1150,1679,4649,27980,8914,4649,46.99,24.51,"Kahului-Wailuku-Lahaina, HI",HI,High (40-49%)
